Mood State,Target Valence (0-1),Target Energy (0-1),Target Tempo (BPM),Target Danceability (0-1),Target Acousticness (0-1),Target Instrumentalness (0-1),Mode (0=Minor; 1=Major),Target Loudness (dB),Notes/Rationale
admiration,0.6 - 0.9,0.4 - 0.7,90-130,0.3 - 0.6,0.2 - 0.7,0.0 - 0.4,1,-12 to -5,"Positive, uplifting, can be grand or gentle."
amusement,0.7 - 0.9,0.5 - 0.8,110-140,0.5 - 0.8,0.1 - 0.5,0.0 - 0.2,1,-10 to -4,"Light-hearted, playful, often upbeat."
anger,0.0 - 0.3,0.7 - 1.0,120-180,0.4 - 0.7,0.0 - 0.2,0.0 - 0.3,0,-8 to -2,"Intense, high energy, often fast and loud, minor key can add tension."
annoyance,0.2 - 0.4,0.5 - 0.7,100-140,0.3 - 0.6,0.0 - 0.4,0.0 - 0.2,1,-11 to -5,"Agitated, moderate to high energy, can be repetitive or slightly dissonant."
approval,0.6 - 0.8,0.4 - 0.6,90-120,0.4 - 0.7,0.1 - 0.6,0.0 - 0.3,1,-12 to -6,"Positive, confirming, generally pleasant."
caring,0.5 - 0.8,0.2 - 0.5,70-110,0.2 - 0.5,0.4 - 0.9,0.1 - 0.6,1,-18 to -8,"Warm, gentle, often slower and softer, acoustic elements common."
confusion,0.2 - 0.5,0.3 - 0.6,80-130,0.2 - 0.5,0.1 - 0.7,0.2 - 0.8,0,-15 to -7,"Unsettled, perhaps slightly dissonant or rhythmically complex."
curiosity,0.5 - 0.8,0.4 - 0.7,100-130,0.4 - 0.7,0.2 - 0.8,0.1 - 0.7,1,-14 to -6,"Inquisitive, exploring, can have interesting textures or progressions."
desire,0.4 - 0.7,0.5 - 0.8,90-130,0.5 - 0.8,0.0 - 0.5,0.0 - 0.3,1,-11 to -4,"Yearning, passionate, often rhythmic and can build in intensity."
disappointment,0.1 - 0.3,0.2 - 0.4,70-100,0.2 - 0.4,0.3 - 0.8,0.0 - 0.5,0,-18 to -9,"Low energy, somber, reflective of unfulfilled expectation."
disapproval,0.2 - 0.4,0.4 - 0.6,90-120,0.3 - 0.5,0.1 - 0.5,0.0 - 0.3,0,-13 to -6,"Critical, somewhat stern, not aggressive but firm."
disgust,0.0 - 0.2,0.5 - 0.8,100-150,0.3 - 0.6,0.0 - 0.3,0.0 - 0.4,0,-10 to -4,"Aversive, potentially harsh sounds, strong rejection."
embarrassment,0.3 - 0.5,0.3 - 0.5,90-120,0.3 - 0.6,0.2 - 0.7,0.1 - 0.5,0,-16 to -8,"Awkward, perhaps a bit hesitant or self-conscious."
excitement,0.7 - 1.0,0.8 - 1.0,125-170,0.6 - 0.9,0.0 - 0.3,0.0 - 0.2,1,-8 to -2,"High energy, fast tempo, very positive and anticipatory."
fear,0.0 - 0.3,0.5 - 0.8,70-150,0.2 - 0.5,0.0 - 0.4,0.1 - 0.7,0,-15 to -5,"Tense, can be quiet and suspenseful or loud and sudden. Minor key typical."
gratitude,0.7 - 0.9,0.3 - 0.6,80-120,0.3 - 0.6,0.4 - 0.9,0.1 - 0.5,1,-15 to -7,"Thankful, warm, heartfelt, often melodic and uplifting."
grief,0.0 - 0.2,0.1 - 0.3,50-80,0.1 - 0.3,0.5 - 1.0,0.2 - 0.8,0,-20 to -10,"Deep sadness, very low energy, slow, often acoustic or orchestral."
joy,0.6 - 0.8,0.7 - 0.9,110-150,0.6 - 0.9,0.0 - 0.4,0.0 - 0.2,1,-9 to -3,"Pure happiness, high valence and energy, often upbeat and melodic."
love,0.6 - 0.9,0.3 - 0.7,70-120,0.3 - 0.7,0.2 - 0.8,0.0 - 0.4,1,-16 to -6,"Warm, encompassing, can be gentle or passionate."
nervousness,0.2 - 0.4,0.5 - 0.7,110-150,0.3 - 0.6,0.1 - 0.5,0.0 - 0.3,0,-13 to -6,"Agitated, restless, tempo might feel hurried."
neutral,0.4 - 0.6,0.3 - 0.5,80-110,0.3 - 0.5,0.2 - 0.8,0.3 - 0.9,1,-18 to -10,"Balanced, not strongly emotional, often instrumental or ambient."
optimism,0.7 - 0.9,0.5 - 0.8,100-140,0.5 - 0.8,0.1 - 0.5,0.0 - 0.3,1,-11 to -4,"Hopeful, forward-looking, bright sounding."
pride,0.6 - 0.8,0.5 - 0.7,90-130,0.4 - 0.7,0.1 - 0.6,0.0 - 0.3,1,-12 to -5,"Confident, strong, can have a triumphant or stately feel."
realization,0.3 - 0.6,0.3 - 0.6,70-110,0.2 - 0.5,0.2 - 0.8,0.1 - 0.6,1,-15 to -7,"Epiphany, can be calm or slightly dramatic depending on the realization."
relief,0.6 - 0.8,0.3 - 0.5,80-120,0.3 - 0.6,0.3 - 0.8,0.1 - 0.5,1,-16 to -8,"Exhale, calming down after tension, often melodic and reassuring."
remorse,0.1 - 0.3,0.2 - 0.4,60-90,0.2 - 0.4,0.4 - 0.9,0.0 - 0.6,0,-19 to -10,"Regretful, somber, introspective, similar to sadness but with guilt."
sadness,0.0 - 0.3,0.1 - 0.4,60-100,0.2 - 0.5,0.5 - 1.0,0.1 - 0.7,0,-20 to -9,"Low valence and energy, often slow, minor key, acoustic often fits."
surprise,0.5 - 0.8,0.6 - 0.9,100-160,0.4 - 0.7,0.0 - 0.5,0.0 - 0.3,1,-10 to -3,"Can be sudden, unexpected changes in dynamics or rhythm. Valence depends on type of surprise."
