track_id,track_name,album_name,artists,popularity,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,neutral,optimism,pride,realization,relief,remorse,sadness,surprise
01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,Days I Will Remember,Tyrone Wells,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2DHDuADAHoUW6n0z80RLQF,Pieces,Black Bear,Andrew Belle,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6xJOhSm4SvZwzy3uhWz26O,The Enemy,Black Bear,Andrew Belle,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6nXIYClvJAfi6ujLiKqEq8,Sky's Still Blue,The Daylight EP,Andrew Belle,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16dkWKIlBsfYTISCVuDs0w,A Drop In the Ocean,Whatever It Takes,Ron Pope,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Zf1BPkkFAWGtVHeBwHHz4,Light Me Up,It Doesn't Have To Make Sense,Ingrid Michaelson,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Vnes7v746dYzBn0FJTZ1W,Fairytale Of New York,Alternative Christmas 2022,KT Tunstall,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7cPuE0M35EajWPRO3nRcH8,Suddenly I See,OO's Music Grandi Successi,KT Tunstall,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1PR5pyPiOEEQ02oJYq402x,Mirrors,"Cover Sessions, Vol. 3",Boyce Avenue;Fifth Harmony,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6gijbGNDNNJgT60Aj7UCyc,Living in the Shadows,Living in the Shadows,Matthew Perryman Jones,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38YgZVHPWOWsKrsCXz6JyP,Come On Get Higher,Some Mad Hope,Matt Nathanson,71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5p9XWUdvbUzmPCukOmwoU3,Suddenly I See,Eye To The Telescope,KT Tunstall,73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6twvFrIoIINH8UW8EB8OnU,No Stopping Us,Waiting for My Rocket to Come (Expanded Edition),Jason Mraz,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0fzCtVM9D5UEwiLqcY8Ouq,Hard Sun,Into The Wild (Music For The Motion Picture),Eddie Vedder,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7njTGO45SkaBTNu35t2Yq0,No Direction,"One Spring Night (Original Television Soundtrack), Pt. 1",Rachael Yamagata,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
68Yc9ylRZZPtsuVgtrxcDj,Take Me Back ft. Yonnyboii,Take Me Back,Zack Tabudlo;Yonnyboii,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4E6cwWJWZw2zWf7VFbH7wf,Love Song,Little Voice,Sara Bareilles,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3g61xRaqII8q1wlQDzv550,Beautiful Soul,"Cover Sessions, Vol. 4",Boyce Avenue,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3dglCYsVMjPbDlU2CC9Vq7,Let's See What The Night Can Do,Know.,Jason Mraz,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2f4jlGvGi3ZDGogXys5FUp,"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",Something In the Rain (Music from the Original TV Series),Rachael Yamagata,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3NCg46FWgnANZc9HQHQOQR,Forever And Always,The Way It Was,Parachute,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0wP19iM8ULJyV0r0LFDsDv,Paradise,Supa Chill,Taj Mahal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5MrgVJzR1du1gz8XWe4m28,Falling in Love at a Coffee Shop,Coffee Shop,Landon Pigg,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6OCsvPU6P84wJ0erggCRv4,Christmas Comes But Once A Year,pov: you have a holly jolly christmas,Albert King,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7qJtNgmUyzy3R86vJwk9Wp,Christmas Comes But Once A Year,pov: you rock around the christmas tree,Albert King,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5MYPzdIWgx3pMLRGlq2fVq,Asan Ka Na Ba,Asan Ka Na Ba,Zack Tabudlo,73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4yRlTvPVfEyhXfp6GZurq9,Never Come Back Again,Austin Plaine,Austin Plaine,57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6J0bdIZElZMymahgVWRE9B,No Ceiling,Into The Wild (Music For The Motion Picture),Eddie Vedder,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0ifc4mq2mVNefgQFmtXQpt,Tell The World,Pure Fiction,Eric Hutchinson,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
22KbVMZekQbkrHGrubQTpQ,What If,Bookmarks,Five For Fighting,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3XFhSbm8EdZD6Cjrm1dNJQ,Polaroid Picture,Tape Deck Heart (Deluxe Edition),Frank Turner,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ABd3bWsG4FCKePjXeVfJG,Leave The Lights On,The Bright Side,Meiko,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2TRXV6DoQLjdRrBR6ED6NP,Slow Down Time,Slow Down Time,Us The Duo,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ZpSUdy5wL5Hvwsqz6JCAt,Passenger Seat,Passenger Seat,Stephen Speaks,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3mDvi0k4LuCA7ViLf3Qb3O,Love,Best Days,Matt White,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3yVSlc3y7YWZPAreTHjH9v,明日の☆SHOW,残響,Masaharu Fukuyama,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6XCPQygbj33s7OUxlbo6bX,Who We Are,Back to Home,Tristan Prettyman,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3SBzDgdTwHOMSik82ZI6L2,Everybody,Everybody,Ingrid Michaelson,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2lXGLbSXrSACMa2oelt4TE,明日天気になれ,音タイム,Hanare Gumi,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
